ssid,address,signal,quality,vendor
MO-ZAM-BIQUE here,82:85:4F:FB:B5:2E,-62,36/100,Unknown
,CC:16:7E:F1:6D:EF,-95,24/100,"Cisco Systems, Inc"
wWIFI,CC:16:7E:F1:6D:EE,-95,30/100,"Cisco Systems, Inc"
MNTIOT,CC:16:7E:F1:6D:ED,-94,27/100,"Cisco Systems, Inc"
MAIF-IA-EXP,CC:16:7E:F1:6D:EC,-93,27/100,"Cisco Systems, Inc"
MOBILES_MAIF,CC:16:7E:F1:6D:EB,-93,33/100,"Cisco Systems, Inc"
WIFI_INVITES,CC:16:7E:F1:6D:EA,-94,27/100,"Cisco Systems, Inc"
,CC:16:7E:F1:6D:E9,-94,33/100,"Cisco Systems, Inc"
UTILISATEURS_MAIF,CC:16:7E:F1:6D:E8,-95,36/100,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,CC:16:7E:F1:6D:E7,-94,33/100,"Cisco Systems, Inc"
,00:F6:63:36:E4:09,-93,39/100,"Cisco Systems, Inc"
UTILISATEURS_MAIF,00:F6:63:36:E4:08,-93,39/100,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,00:F6:63:36:E4:07,-93,39/100,"Cisco Systems, Inc"
,00:F6:63:36:E4:0F,-92,36/100,"Cisco Systems, Inc"
wWIFI,00:F6:63:36:E4:0E,-92,42/100,"Cisco Systems, Inc"
MNTIOT,00:F6:63:36:E4:0D,-94,39/100,"Cisco Systems, Inc"
MAIF-IA-EXP,00:F6:63:36:E4:0C,-93,33/100,"Cisco Systems, Inc"
MOBILES_MAIF,00:F6:63:36:E4:0B,-92,39/100,"Cisco Systems, Inc"
WIFI_INVITES,00:F6:63:36:E4:0A,-93,36/100,"Cisco Systems, Inc"
,00:F6:63:9B:AA:8F,-80,96/100,"Cisco Systems, Inc"
wWIFI,00:F6:63:9B:AA:8E,-80,96/100,"Cisco Systems, Inc"
MNTIOT,00:F6:63:9B:AA:8D,-80,93/100,"Cisco Systems, Inc"
MAIF-IA-EXP,00:F6:63:9B:AA:8C,-80,90/100,"Cisco Systems, Inc"
MOBILES_MAIF,00:F6:63:9B:AA:8B,-81,96/100,"Cisco Systems, Inc"
WIFI_INVITES,00:F6:63:9B:AA:8A,-80,93/100,"Cisco Systems, Inc"
,00:F6:63:9B:AA:89,-81,96/100,"Cisco Systems, Inc"
UTILISATEURS_MAIF,00:F6:63:9B:AA:88,-80,100/100,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,00:F6:63:9B:AA:87,-80,93/100,"Cisco Systems, Inc"
,CC:16:7E:F1:33:9F,-93,21/100,"Cisco Systems, Inc"
wWIFI,CC:16:7E:F1:33:9E,-94,21/100,"Cisco Systems, Inc"
MNTIOT,CC:16:7E:F1:33:9D,-94,21/100,"Cisco Systems, Inc"
MAIF-IA-EXP,CC:16:7E:F1:33:9C,-94,18/100,"Cisco Systems, Inc"
MOBILES_MAIF,CC:16:7E:F1:33:9B,-93,18/100,"Cisco Systems, Inc"
WIFI_INVITES,CC:16:7E:F1:33:9A,-94,18/100,"Cisco Systems, Inc"
,CC:16:7E:F1:33:99,-93,21/100,"Cisco Systems, Inc"
UTILISATEURS_MAIF,CC:16:7E:F1:33:98,-93,18/100,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,CC:16:7E:F1:33:97,-94,24/100,"Cisco Systems, Inc"
